2010 Federal Election House of Representatives First Preferences By Candidate By Polling Place for NSW [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-08-24T18:16:36 Cycle:1156ec49-ba92-419f-ad74-e269ebab66f1 Created:2010-08-24T18:02:33 Environment:PROD Site:CDC Server:DB01 Version:6.0.9.8314]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
NSW,103,Banks,31,Allawah,20846,SPIGHT,Paul,1,N,N,GRN,The Greens,161,2.15
NSW,103,Banks,31,Allawah,20888,PARSONS,Michael,2,N,N,ON,One Nation,13,0.91
NSW,103,Banks,31,Allawah,21087,MELHAM,Daryl,3,N,Y,ALP,Labor,630,-17.94
NSW,103,Banks,31,Allawah,21561,DELEZIO,Ron,4,N,N,LP,Liberal,624,17.54
NSW,103,Banks,31,Allawah,999,Informal,Informal,999,N,N,,Informal,131,3.46
NSW,103,Banks,67,Allawah South,20846,SPIGHT,Paul,1,N,N,GRN,The Greens,111,2.94
NSW,103,Banks,67,Allawah South,20888,PARSONS,Michael,2,N,N,ON,One Nation,14,1.27
NSW,103,Banks,67,Allawah South,21087,MELHAM,Daryl,3,N,Y,ALP,Labor,506,-12.52
NSW,103,Banks,67,Allawah South,21561,DELEZIO,Ron,4,N,N,LP,Liberal,472,12.58
NSW,103,Banks,67,Allawah South,999,Informal,Informal,999,N,N,,Informal,128,4.2
NSW,103,Banks,56500,Beverly Hills North (Banks),20846,SPIGHT,Paul,1,N,N,GRN,The Greens,37,3.47
NSW,103,Banks,56500,Beverly Hills North (Banks),20888,PARSONS,Michael,2,N,N,ON,One Nation,12,2.71
NSW,103,Banks,56500,Beverly Hills North (Banks),21087,MELHAM,Daryl,3,N,Y,ALP,Labor,222,-7.35
NSW,103,Banks,56500,Beverly Hills North (Banks),21561,DELEZIO,Ron,4,N,N,LP,Liberal,171,7.22
NSW,103,Banks,56500,Beverly Hills North (Banks),999,Informal,Informal,999,N,N,,Informal,55,3.53
NSW,103,Banks,2646,Beverly Hills South,20846,SPIGHT,Paul,1,N,N,GRN,The Greens,128,3.8
NSW,103,Banks,2646,Beverly Hills South,20888,PARSONS,Michael,2,N,N,ON,One Nation,17,1.22
