2010 Federal Election House of Representatives Incumbent Not Contesting [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-09-07T13:04:08 Cycle:1bd37f6f-8810-4ba2-801e-4c4a12c73ccb Created:2010-09-07T12:49:53 Environment:PROD Site:FDC Server:DB01 Version:6.0.9.8314]
TransactionID,StateAb,DivisionID,DivisionNm,ShortCode,DeclaredDt,IncumbentSurname,IncumbentInitials,IncumbentPartyAb,IncumbentParty
15508,ACT,101,Canberra,CANB,,Ellis,A,ALP,Australian Labor Party
15508,ACT,102,Fraser,FRAS,,McMullan,B,ALP,Australian Labor Party
15508,NSW,111,Chifley,CHIF,,Price,R,ALP,Australian Labor Party
15508,NSW,122,Greenway,GREE,,Markus,L,LP,Liberal
15508,NSW,124,Hughes,HUGH,,Vale,D,LP,Liberal
15508,NSW,130,Lyne,LYNE,,Oakeshott,R,IND,The Nationals
15508,NSW,131,Macarthur,MACA,,Farmer,P,LP,Liberal
15508,NSW,133,Macquarie,MACQ,,Debus,R,ALP,Australian Labor Party
15508,NSW,146,Robertson,ROBE,,Neal,B,ALP,Australian Labor Party
15508,NSW,150,Throsby,THRO,,George,J,ALP,Australian Labor Party
15508,QLD,158,Dawson,DAWS,7/09/2010 12:00:00 AM,Bidgood,J,ALP,Australian Labor Party
15508,QLD,165,Herbert,HERB,,Lindsay,P,LP,Liberal National Party of Queensland
15508,QLD,171,McPherson,MCPH,3/09/2010 12:00:00 AM,May,M,LP,Liberal National Party of Queensland
15508,QLD,177,Ryan,RYAN,,Johnson,M,LP,Liberal National Party of Queensland
15508,TAS,192,Bass,BASS,6/09/2010 12:00:00 AM,Campbell,J,ALP,Australian Labor Party
15508,TAS,194,Denison,DENI,,Kerr,D,ALP,Australian Labor Party
15508,VIC,197,Aston,ASTO,,Pearce,C,LP,Liberal
15508,VIC,221,Kooyong,KOOY,7/09/2010 12:00:00 AM,Georgiou,P,LP,Liberal
15508,VIC,226,McEwen,MCEW,,Bailey,F,LP,Liberal
15508,VIC,228,Melbourne,MELB,,Tanner,L,ALP,Australian Labor Party
15508,VIC,233,Wannon,WANN,7/09/2010 12:00:00 AM,Hawker,D,LP,Liberal
15508,NSW,250,Riverina,RIVE,,Hull,K,NP,The Nationals
