2010 Federal Election House Non Classic Divisions [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-09-07T09:08:47 Cycle:604bc36e-662f-4d11-a003-c55789dff20c Created:2010-09-07T08:48:50 Environment:PROD Site:FDC Server:DB01 Version:6.0.9.8314]
StateAb,DivisionId,DivisionNm,Updated,PartyAb1,PartyNm1,CandidateId1,Surname1,GivenNm1,Elected1,HistoricElected1,PartyAb2,PartyNm2,CandidateId2,Surname2,GivenNm2,Elected2,HistoricElected2
NSW,121,Grayndler,6/09/2010 3:38:16 PM,ALP,Labor,21656,ALBANESE,Anthony,N,Y,GRN,The Greens,21865,BYRNE,Sam,N,N
NSW,130,Lyne,3/09/2010 5:21:56 PM,IND,Independent,21912,OAKESHOTT,Robert,N,Y,NP,The Nationals,20996,GILLESPIE,David,N,N
NSW,135,New England,6/09/2010 3:30:25 PM,NP,The Nationals,21214,COATES,Tim,N,N,IND,Independent,13274,WINDSOR,Tony,Y,Y
QLD,167,Kennedy,6/09/2010 1:31:39 PM,IND,Independent,13270,KATTER,Bob,N,Y,LNQ,Liberal National Party of Queensland,20781,MORRISON,Ed,N,N
TAS,194,Denison,7/09/2010 8:27:26 AM,IND,Independent,20881,WILKIE,Andrew,N,N,ALP,Australian Labor Party,20931,JACKSON,Jonathan,N,N
VIC,199,Batman,6/09/2010 3:45:40 PM,GRN,Australian Greens,21225,BHATHAL,Alexandra Kaur,N,N,ALP,Australian Labor Party,21035,FERGUSON,Martin John,N,Y
VIC,228,Melbourne,6/09/2010 6:49:21 PM,GRN,Australian Greens,21657,BANDT,Adam,N,N,ALP,Australian Labor Party,21650,BOWTELL,Cath,N,N
WA,243,O'Connor,6/09/2010 8:58:48 PM,LP,Liberal,20880,TUCKEY,Wilson,N,Y,NP,The Nationals,21139,CROOK,Tony,N,N
