2010 Federal Election Senate Turnout By State [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-09-06T14:08:46 Cycle:4cd541e9-275a-4bdb-b1c9-d754cad8028d Created:2010-09-06T13:49:46 Environment:PROD Site:FDC Server:DB01 Version:6.0.9.8314]
StateAb,StateNm,Enrolment,Turnout,TurnoutPercentage,TurnoutSwing
NSW,New South Wales,4611228,4076930,88.41,-6.99
VIC,Victoria,3562802,3103064,87.1,-8.5
QLD,Queensland,2719746,2349737,86.4,-8.41
WA,Western Australia,1362177,1218525,89.45,-4.41
SA,South Australia,1105076,947454,85.74,-10.09
TAS,Tasmania,358567,331740,92.52,-3.46
ACT,Australian Capital Territory,247659,223974,90.44,-5.56
NT,Northern Territory,121005,99140,81.93,-4.95
