2010 Federal Election Senate First Preferences By Division By Candidate By Vote Type  [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-09-06T22:08:56 Cycle:7c9a5a27-5e51-47dd-8420-35fbfd884996 Created:2010-09-06T21:51:16 Environment:PROD Site:FDC Server:DB01 Version:6.0.9.8314]
StateAb,DivisionID,DivisionNm,Ticket,BallotPosition,CandidateID,CandidateDetails,PartyName,PartyAb,Elected,HistoricElected,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes
ACT,101,Canberra,A,0,22049,A Ticket Votes,Australian Labor Party,ALP,N,N,32995,510,0,1927,1086,36518
ACT,101,Canberra,A,1,21065,"LUNDY, Kate Alexandra",Australian Labor Party,ALP,N,Y,5357,0,0,97,73,5527
ACT,101,Canberra,A,2,21072,"MATHEWS, David",Australian Labor Party,ALP,N,N,405,0,0,13,8,426
ACT,101,Canberra,A,9998,0,Unapportioned,Australian Labor Party,ALP,N,N,2604,0,0,0,0,2604
ACT,101,Canberra,B,0,22050,B Ticket Votes,Australian Democrats,DEM,N,N,1024,20,0,90,35,1169
ACT,101,Canberra,B,1,21758,"CHURCHILL, Darren Mark",Australian Democrats,DEM,N,N,392,0,0,2,6,400
ACT,101,Canberra,B,2,21760,"DAVID, Anthony John",Australian Democrats,DEM,N,N,84,0,0,2,1,87
ACT,101,Canberra,B,9998,0,Unapportioned,Australian Democrats,DEM,N,N,153,0,0,0,0,153
ACT,101,Canberra,C,0,22048,C Ticket Votes,The Greens,GRN,N,N,12706,332,0,890,397,14325
ACT,101,Canberra,C,1,20838,"HATFIELD DODDS, Lin",The Greens,GRN,N,N,5523,0,0,92,47,5662
ACT,101,Canberra,C,2,20840,"PARRIS, Hannah",The Greens,GRN,N,N,529,0,0,15,6,550
ACT,101,Canberra,C,9998,0,Unapportioned,The Greens,GRN,N,N,2005,0,0,0,0,2005
ACT,101,Canberra,D,0,22047,D Ticket Votes,Liberal,LP,N,N,28942,401,0,1739,1287,32369
ACT,101,Canberra,D,1,20813,"HUMPHRIES, Gary",Liberal,LP,N,Y,4124,0,0,78,86,4288
ACT,101,Canberra,D,2,20814,"WATTS, Matthew",Liberal,LP,N,N,242,0,0,3,9,254
ACT,101,Canberra,D,9998,0,Unapportioned,Liberal,LP,N,N,1935,0,0,0,0,1935
ACT,101,Canberra,UG,1,21966,"GLYNN, John",Independent,IND,N,N,1142,0,0,10,13,1165
ACT,102,Fraser,A,0,22049,A Ticket Votes,Australian Labor Party,ALP,N,N,33269,574,232,1911,968,36954
ACT,102,Fraser,A,1,21065,"LUNDY, Kate Alexandra",Australian Labor Party,ALP,N,Y,5579,0,0,180,0,5759
ACT,102,Fraser,A,2,21072,"MATHEWS, David",Australian Labor Party,ALP,N,N,485,0,0,12,0,497
ACT,102,Fraser,A,9998,0,Unapportioned,Australian Labor Party,ALP,N,N,1656,0,0,0,0,1656
ACT,102,Fraser,B,0,22050,B Ticket Votes,Australian Democrats,DEM,N,N,1103,21,7,91,47,1269
ACT,102,Fraser,B,1,21758,"CHURCHILL, Darren Mark",Australian Democrats,DEM,N,N,386,0,0,15,0,401
ACT,102,Fraser,B,2,21760,"DAVID, Anthony John",Australian Democrats,DEM,N,N,111,0,0,2,0,113
ACT,102,Fraser,B,9998,0,Unapportioned,Australian Democrats,DEM,N,N,166,0,0,0,0,166
ACT,102,Fraser,C,0,22048,C Ticket Votes,The Greens,GRN,N,N,14670,301,97,969,350,16387
ACT,102,Fraser,C,1,20838,"HATFIELD DODDS, Lin",The Greens,GRN,N,N,7228,0,0,211,0,7439
ACT,102,Fraser,C,2,20840,"PARRIS, Hannah",The Greens,GRN,N,N,709,0,0,41,0,750
ACT,102,Fraser,C,9998,0,Unapportioned,The Greens,GRN,N,N,2324,0,0,0,0,2324
ACT,102,Fraser,D,0,22047,D Ticket Votes,Liberal,LP,N,N,26360,415,156,1622,1055,29608
ACT,102,Fraser,D,1,20813,"HUMPHRIES, Gary",Liberal,LP,N,Y,3420,0,0,90,0,3510
ACT,102,Fraser,D,2,20814,"WATTS, Matthew",Liberal,LP,N,N,294,0,0,19,0,313
ACT,102,Fraser,D,9998,0,Unapportioned,Liberal,LP,N,N,1189,0,0,0,0,1189
ACT,102,Fraser,UG,1,21966,"GLYNN, John",Independent,IND,N,N,1081,0,0,24,0,1105
NSW,103,Banks,A,0,22214,A Ticket Votes,Socialist Alliance,SAL,N,N,495,19,6,15,7,542
NSW,103,Banks,A,1,21446,"EVANS, Rachel",Socialist Alliance,SAL,N,N,22,2,2,2,0,28
NSW,103,Banks,A,2,21449,"ISKANDER, Soubhi",Socialist Alliance,SAL,N,N,0,1,0,0,0,1
NSW,103,Banks,A,9998,0,Unapportioned,Socialist Alliance,SAL,N,N,0,0,0,0,0,0
NSW,103,Banks,B,0,22230,B Ticket Votes,,,N,N,39,2,0,2,0,43
NSW,103,Banks,B,1,22023,"HODGES, Robert",,,N,N,2,0,0,0,0,2
NSW,103,Banks,B,2,22024,"FRIER, Bob",,,N,N,0,0,0,0,0,0
NSW,103,Banks,B,9998,0,Unapportioned,,,N,N,0,0,0,0,0,0
NSW,103,Banks,C,0,22224,C Ticket Votes,,,N,N,19,1,0,1,2,23
NSW,103,Banks,C,1,21904,"ROBINSON, Tony",,,N,N,1,0,0,0,0,1
NSW,103,Banks,C,2,21907,"SELBY, Noel",,,N,N,0,0,0,0,0,0
NSW,103,Banks,C,9998,0,Unapportioned,,,N,N,0,0,0,0,0,0
NSW,103,Banks,D,0,22215,D Ticket Votes,,,N,N,38,3,1,7,0,49
NSW,103,Banks,D,1,21429,"HODGES, Darrin",,,N,N,1,1,0,0,1,3
NSW,103,Banks,D,2,21430,"FOLKES, Nick",,,N,N,0,0,0,0,0,0
NSW,103,Banks,D,9998,0,Unapportioned,,,N,N,0,0,0,0,0,0
NSW,103,Banks,E,0,22220,E Ticket Votes,Building Australia,BAP,N,N,163,25,4,9,13,214
NSW,103,Banks,E,1,21798,"BROWN, Ray",Building Australia,BAP,N,N,3,0,0,1,0,4
NSW,103,Banks,E,2,21799,"O'DONNELL, Michael",Building Australia,BAP,N,N,0,0,0,0,0,0
NSW,103,Banks,E,9998,0,Unapportioned,Building Australia,BAP,N,N,0,0,0,0,0,0
NSW,103,Banks,F,0,22212,F Ticket Votes,Senator On-Line,SOL,N,N,43,2,1,2,1,49
NSW,103,Banks,F,1,21465,"BAS, Wes",Senator On-Line,SOL,N,N,6,1,0,0,0,7
NSW,103,Banks,F,2,21470,"ROACH, Brianna",Senator On-Line,SOL,N,N,1,0,0,0,0,1
NSW,103,Banks,F,9998,0,Unapportioned,Senator On-Line,SOL,N,N,0,0,0,0,0,0
NSW,103,Banks,G,0,22222,G Ticket Votes,Communist,CAL,N,N,173,21,2,13,10,219
NSW,103,Banks,G,1,21787,"LAWLER, Geoff",Communist,CAL,N,N,3,0,0,0,0,3
NSW,103,Banks,G,2,21789,"KELLAWAY, Brenda Anne",Communist,CAL,N,N,2,0,0,0,0,2
NSW,103,Banks,G,9998,0,Unapportioned,Communist,CAL,N,N,0,0,0,0,0,0
NSW,103,Banks,H,0,22233,H Ticket Votes,,,N,N,20,2,0,1,0,23
NSW,103,Banks,H,1,22021,"BLOOM, Nadia",,,N,N,1,0,0,0,0,1
NSW,103,Banks,H,2,22022,"IRELAND, Bede",,,N,N,1,0,0,0,0,1
NSW,103,Banks,H,9998,0,Unapportioned,,,N,N,0,0,0,0,0,0
NSW,103,Banks,I,0,22211,I Ticket Votes,Citizens Electoral Council of Australia,CEC,N,N,97,4,2,7,3,113
NSW,103,Banks,I,1,21031,"BUTLER, Robert H",Citizens Electoral Council of Australia,CEC,N,N,0,0,0,0,0,0
NSW,103,Banks,I,2,21037,"McCAFFREY, Ian David",Citizens Electoral Council of Australia,CEC,N,N,0,0,0,0,0,0
NSW,103,Banks,I,9998,0,Unapportioned,Citizens Electoral Council of Australia,CEC,N,N,0,0,0,0,0,0
NSW,103,Banks,J,0,22219,J Ticket Votes,Australian Democrats,DEM,N,N,374,40,1,26,23,464
NSW,103,Banks,J,1,21733,"CLANCY, Fiona",Australian Democrats,DEM,N,N,40,1,0,1,1,43
NSW,103,Banks,J,2,21736,"MITCHELL, Jen",Australian Democrats,DEM,N,N,1,0,0,0,0,1
NSW,103,Banks,J,9998,0,Unapportioned,Australian Democrats,DEM,N,N,0,0,0,0,0,0
NSW,103,Banks,K,0,22218,K Ticket Votes,,,N,N,18,0,0,0,0,18
NSW,103,Banks,K,1,21714,"SAMPSON, Meg",,,N,N,0,0,0,0,0,0
NSW,103,Banks,K,2,21718,"HINCHCLIFFE, J",,,N,N,0,0,0,0,0,0
NSW,103,Banks,K,9998,0,Unapportioned,,,N,N,0,0,0,0,0,0
NSW,103,Banks,L,0,22232,L Ticket Votes,,,N,N,21,4,1,1,1,28
NSW,103,Banks,L,1,22019,"BELGRAVE, Leon Adrian",,,N,N,1,0,0,0,0,1
NSW,103,Banks,L,2,22020,"BEREGSZASZI, Janos",,,N,N,0,0,0,0,0,0
NSW,103,Banks,L,9998,0,Unapportioned,,,N,N,0,0,0,0,0,0
NSW,103,Banks,M,0,22207,M Ticket Votes,The Climate Sceptics,TCS,N,N,152,11,0,6,5,174
NSW,103,Banks,M,1,21127,"KOUTALIANOS, Bill",The Climate Sceptics,TCS,N,N,15,1,0,0,1,17
NSW,103,Banks,M,2,21134,"BROWN, Geoffrey",The Climate Sceptics,TCS,N,N,0,0,0,0,1,1
NSW,103,Banks,M,9998,0,Unapportioned,The Climate Sceptics,TCS,N,N,0,0,0,0,0,0
NSW,103,Banks,N,0,22213,N Ticket Votes,Secular Party of Australia,SPA,N,N,35,7,0,4,2,48
NSW,103,Banks,N,1,21229,"BRYCE, Ian",Secular Party of Australia,SPA,N,N,10,0,0,1,1,12
NSW,103,Banks,N,2,21233,"WARREN, Lyle Richard",Secular Party of Australia,SPA,N,N,0,0,0,0,0,0
NSW,103,Banks,N,9998,0,Unapportioned,Secular Party of Australia,SPA,N,N,0,0,0,0,0,0
NSW,103,Banks,O,0,22216,O Ticket Votes,Shooters and Fishers,ASP,N,N,943,99,9,45,40,1136
NSW,103,Banks,O,1,21451,"MUIRHEAD, Jim Gerard",Shooters and Fishers,ASP,N,N,60,3,0,0,1,64
NSW,103,Banks,O,2,21455,"McGLASHAN, Alistair David",Shooters and Fishers,ASP,N,N,7,0,0,0,1,8
NSW,103,Banks,O,9998,0,Unapportioned,Shooters and Fishers,ASP,N,N,0,0,0,0,0,0
NSW,103,Banks,P,0,22226,P Ticket Votes,Democratic Labor Party (DLP) of Australia,DLP,N,N,359,38,9,32,30,468
NSW,103,Banks,P,1,22015,"McCAFFREY, Simon Thomas",Democratic Labor Party (DLP) of Australia,DLP,N,N,4,2,0,0,0,6
NSW,103,Banks,P,2,22016,"CULLEN, Martin",Democratic Labor Party (DLP) of Australia,DLP,N,N,0,0,0,0,0,0
NSW,103,Banks,P,9998,0,Unapportioned,Democratic Labor Party (DLP) of Australia,DLP,N,N,0,0,0,0,0,0
NSW,103,Banks,Q,0,22203,Q Ticket Votes,Australian Sex Party,ASXP,N,N,938,120,13,56,30,1157
NSW,103,Banks,Q,1,20841,"LEISHMAN, Marianne",Australian Sex Party,ASXP,N,N,53,2,0,4,0,59
NSW,103,Banks,Q,2,20947,"CAMPBELL, Huw",Australian Sex Party,ASXP,N,N,1,0,0,0,0,1
NSW,103,Banks,Q,3,20949,"ZIMMERMAN, Larissa",Australian Sex Party,ASXP,N,N,3,1,0,1,0,5
NSW,103,Banks,Q,9998,0,Unapportioned,Australian Sex Party,ASXP,N,N,0,0,0,0,0,0
NSW,103,Banks,R,0,22227,R Ticket Votes,,,N,N,12,2,0,1,0,15
NSW,103,Banks,R,1,21993,"BARKER, David",,,N,N,0,0,0,0,0,0
NSW,103,Banks,R,2,21994,"ZUREIK, S G",,,N,N,0,0,0,0,0,0
NSW,103,Banks,R,9998,0,Unapportioned,,,N,N,0,0,0,0,0,0
NSW,103,Banks,S,0,22204,S Ticket Votes,Socialist Equality Party,SEP,N,N,61,10,2,6,3,82
NSW,103,Banks,S,1,20978,"BEAMS, Nick",Socialist Equality Party,SEP,N,N,0,1,0,0,0,1
NSW,103,Banks,S,2,20981,"ZABALA, Gabriela",Socialist Equality Party,SEP,N,N,1,0,0,0,0,1
NSW,103,Banks,S,9998,0,Unapportioned,Socialist Equality Party,SEP,N,N,0,0,0,0,0,0
NSW,103,Banks,T,0,22223,T Ticket Votes,,,N,N,29,1,0,2,3,35
NSW,103,Banks,T,1,21908,"BOURKE, William",,,N,N,7,1,0,0,0,8
NSW,103,Banks,T,2,21910,"O'CONNOR, Mark",,,N,N,0,0,0,0,0,0
NSW,103,Banks,T,9998,0,Unapportioned,,,N,N,0,0,0,0,0,0
NSW,103,Banks,U,0,22217,U Ticket Votes,Non-Custodial Parents Party (Equal Parenting),NCP,N,N,49,4,0,1,2,56
NSW,103,Banks,U,1,21413,"THOMPSON, Andy",Non-Custodial Parents Party (Equal Parenting),NCP,N,N,4,0,0,0,0,4
NSW,103,Banks,U,2,21420,"FOSTER, Roland",Non-Custodial Parents Party (Equal Parenting),NCP,N,N,0,0,0,0,0,0
NSW,103,Banks,U,9998,0,Unapportioned,Non-Custodial Parents Party (Equal Parenting),NCP,N,N,0,0,0,0,0,0
NSW,103,Banks,V,0,22209,V Ticket Votes,Family First,FFP,N,N,606,56,6,32,36,736
NSW,103,Banks,V,1,21178,"SWANE, Greg",Family First,FFP,N,N,42,2,0,2,2,48
NSW,103,Banks,V,2,21182,"LAMB, Phil",Family First,FFP,N,N,6,0,0,0,0,6
