2010 Federal Election Senate Informal Votes By State [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-09-06T14:55:42 Cycle:c04962f5-2472-4d17-83d0-39dd36485029 Created:2010-09-06T14:34:47 Environment:PROD Site:FDC Server:DB01 Version:6.0.9.8314]
StateAb,StateNm,FormalVotes,InformalVotes,TotalVotes,InformalPercent,InformalSwing
NSW,New South Wales,3892151,183618,4075769,4.51,2.27
VIC,Victoria,2974202,134414,3108616,4.32,1.04
QLD,Queensland,2265667,89655,2355322,3.81,1.47
WA,Western Australia,1178007,40874,1218881,3.35,0.93
SA,South Australia,915316,32141,947457,3.39,1.01
TAS,Tasmania,320788,10952,331740,3.3,0.67
ACT,Australian Capital Territory,217940,6034,223974,2.69,0.99
NT,Northern Territory,95447,3693,99140,3.73,1.79
