2010 Federal Election House of Representatives First Preferences By Candidate By Polling Place for ACT [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-08-26T21:24:45 Cycle:a7ed549e-50d8-4097-9da9-70ce0860a249 Created:2010-08-26T21:04:52 Environment:PROD Site:CDC Server:DB01 Version:6.0.9.8314]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,101,Canberra,8829,Barton,20863,JONES,Giulia,1,N,N,LP,Liberal,712,-3.13
ACT,101,Canberra,8829,Barton,20864,ELLERMAN,Sue,2,N,N,GRN,The Greens,538,7.94
ACT,101,Canberra,8829,Barton,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,939,-4.2
ACT,101,Canberra,8829,Barton,999,Informal,Informal,999,N,N,,Informal,79,2.44
ACT,101,Canberra,11877,Bonython,20863,JONES,Giulia,1,N,N,LP,Liberal,749,1.98
ACT,101,Canberra,11877,Bonython,20864,ELLERMAN,Sue,2,N,N,GRN,The Greens,315,4.11
ACT,101,Canberra,11877,Bonython,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,983,-4.94
ACT,101,Canberra,11877,Bonython,999,Informal,Informal,999,N,N,,Informal,115,2.46
ACT,101,Canberra,11452,Calwell,20863,JONES,Giulia,1,N,N,LP,Liberal,931,-1.59
ACT,101,Canberra,11452,Calwell,20864,ELLERMAN,Sue,2,N,N,GRN,The Greens,440,6.91
ACT,101,Canberra,11452,Calwell,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,1219,-4.67
ACT,101,Canberra,11452,Calwell,999,Informal,Informal,999,N,N,,Informal,175,4.09
ACT,101,Canberra,8794,Canberra Hospital,20863,JONES,Giulia,1,N,N,LP,Liberal,290,1.73
ACT,101,Canberra,8794,Canberra Hospital,20864,ELLERMAN,Sue,2,N,N,GRN,The Greens,181,8.4
ACT,101,Canberra,8794,Canberra Hospital,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,368,-8.93
ACT,101,Canberra,8794,Canberra Hospital,999,Informal,Informal,999,N,N,,Informal,35,1.63
ACT,101,Canberra,8761,Chapman,20863,JONES,Giulia,1,N,N,LP,Liberal,1070,2.14
ACT,101,Canberra,8761,Chapman,20864,ELLERMAN,Sue,2,N,N,GRN,The Greens,539,5.36
