2010 Federal Election Senate Votes By State [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-09-03T12:54:41 Cycle:90359047-0757-4518-9dbb-e574aaec0e47 Created:2010-09-03T12:33:50 Environment:PROD Site:CDC Server:DB01 Version:6.0.9.8314]
StateAb,StateNm,Enrolment,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,TotalPercentage
NSW,New South Wales,4611228,3662041,113559,5230,63976,138493,3983299,86.38
VIC,Victoria,3562802,2735398,72008,1305,36107,154779,2999597,84.19
QLD,Queensland,2719746,2062601,56404,1441,31526,86044,2238016,82.29
WA,Western Australia,1362177,1031389,72776,2406,37706,51022,1195299,87.75
SA,South Australia,1105076,850897,25260,2548,9873,26806,915384,82.83
TAS,Tasmania,358567,289748,13030,553,7385,18243,328959,91.74
ACT,Australian Capital Territory,247659,201244,1280,0,7336,749,210609,85.04
NT,Northern Territory,121005,90020,1616,0,4260,2612,98508,81.41
