2010 Federal Election House of Representatives Turnout By State [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-09-02T10:58:16 Cycle:8a5328ae-21c8-49dd-a290-d58978b0197a Created:2010-09-02T10:48:45 Environment:PROD Site:CDC Server:DB01 Version:6.0.9.8314]
StateAb,StateNm,Enrolment,Turnout,TurnoutPercentage,TurnoutSwing
NSW,New South Wales,4611228,4081600,88.51,-6.4
VIC,Victoria,3562802,3112379,87.36,-7.81
QLD,Queensland,2719746,2451684,90.14,-4.23
WA,Western Australia,1362177,1233222,90.53,-2.72
SA,South Australia,1105076,998095,90.32,-5.1
TAS,Tasmania,358567,339628,94.72,-1.04
ACT,Australian Capital Territory,247659,221227,89.33,-6.51
NT,Northern Territory,121005,98622,81.5,-5.03
