2010 Federal Election Senate Votes By Division [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-09-07T11:14:14 Cycle:86a481a5-f7f2-4108-ab93-af03f1922bff Created:2010-09-07T11:04:26 Environment:PROD Site:FDC Server:DB01 Version:6.0.9.8314]
DivisionID,DivisionNm,StateAb,Enrolment,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,TotalPercentage
168,Leichhardt,QLD,93140,74547,3126,504,2556,4372,85105,91.37
169,Lilley,QLD,97415,75872,4693,0,2043,2755,85363,87.63
128,Lindsay,NSW,95975,78575,3501,0,1856,3890,87822,91.51
306,Lingiari,NT,61126,42319,908,0,1764,938,45929,75.14
302,Longman,QLD,87062,69149,4249,487,2279,6002,82166,94.38
130,Lyne,NSW,92565,77498,4063,187,2767,4007,88522,95.63
196,Lyons,TAS,72865,57195,4824,237,2442,4532,69230,95.07
131,Macarthur,NSW,90059,72500,3228,0,0,0,75728,84.09
132,Mackellar,NSW,98556,78859,5057,303,4029,3856,92104,93.45
133,Macquarie,NSW,97560,79759,4156,246,2382,2652,89195,91.43
187,Makin,SA,96263,76939,5966,367,1985,5929,91186,94.73
224,Mallee,VIC,89840,74839,2273,0,2714,3869,83695,93.16
170,Maranoa,QLD,97957,73742,6039,277,2058,10180,92296,94.22
225,Maribyrnong,VIC,88412,68161,3873,0,3009,5358,80401,90.94
188,Mayo,SA,101565,76673,0,0,0,465,77138,75.95
226,McEwen,VIC,115783,87763,3761,675,1340,6461,100000,86.37
315,McMahon,NSW,96058,78667,3870,416,1246,2753,86952,90.52
227,McMillan,VIC,93323,75292,0,0,0,531,75823,81.25
171,McPherson,QLD,90090,71118,3295,346,3763,4828,83350,92.52
228,Melbourne,VIC,102879,72763,6614,0,5133,5042,89552,87.05
230,Melbourne Ports,VIC,97765,65325,6308,0,4412,5237,81282,83.14
229,Menzies,VIC,90966,70122,4701,434,3743,6256,85256,93.72
134,Mitchell,NSW,93588,77506,4440,367,2532,3713,88558,94.63
172,Moncrieff,QLD,89087,67822,3986,483,3173,5824,81288,91.25
242,Moore,WA,92295,71723,6597,423,4186,3286,86215,93.41
173,Moreton,QLD,92733,68408,182,0,1250,210,70050,75.54
231,Murray,VIC,90218,74661,0,0,0,3869,78530,87.04
135,New England,NSW,99677,83242,3276,0,2598,3864,92980,93.28
136,Newcastle,NSW,92896,74063,5088,444,2951,4618,87164,93.83
137,North Sydney,NSW,97567,74887,4541,476,968,3045,83917,86.01
243,O'Connor,WA,92875,70384,5830,337,3134,3385,83070,89.44
174,Oxley,QLD,82782,65166,4821,350,2552,4067,76956,92.96
138,Page,NSW,94360,78024,2523,0,2735,4842,88124,93.39
139,Parkes,NSW,100169,81730,4428,339,2520,3704,92721,92.56
140,Parramatta,NSW,94014,70070,3787,0,437,3674,77968,87.87
249,Paterson,NSW,92149,75818,4485,306,2430,4660,87699,95.17
244,Pearce,WA,89526,62962,7392,0,2377,3382,76113,85.01
245,Perth,WA,91904,68095,225,0,63,37,68420,74.45
175,Petrie,QLD,86683,61617,0,0,0,105,61722,71.2
189,Port Adelaide,SA,104308,82688,6683,674,2343,5580,97968,93.92
176,Rankin,QLD,94602,72550,5480,679,2166,6032,86907,91.87
144,Reid,NSW,95873,73989,5268,631,3536,4257,87681,91.46
145,Richmond,NSW,92384,73843,2664,291,3217,4328,84343,91.3
250,Riverina,NSW,98594,79963,2662,0,2997,4083,89705,90.98
