2010 Federal Election Senate Informal Votes By Division [Please Note: These results are not final. Event:15508 Phase:ElectionNight Generated:2010-08-21T23:40:27 Cycle:852216dd-a03a-44ce-a17d-9a584f7f4035 Created:2010-08-21T23:39:50 Environment:PROD Site:CDC Server:DB01 Version:6.0.9.8314]
DivisionID,DivisionNm,StateAb,FormalVotes,InformalVotes,TotalVotes,InformalPercent
135,New England,NSW,56082,2340,58422,4.01
244,Pearce,WA,31177,1293,32470,3.98
183,Grey,SA,71491,2956,74447,3.97
230,Melbourne Ports,VIC,38832,1581,40413,3.91
133,Macquarie,NSW,58593,2372,60965,3.89
214,Goldstein,VIC,56211,2252,58463,3.85
163,Griffith,QLD,62666,2484,65150,3.81
239,Forrest,WA,50407,1988,52395,3.79
186,Kingston,SA,73029,2828,75857,3.73
187,Makin,SA,71510,2737,74247,3.69
134,Mitchell,NSW,63284,2414,65698,3.67
185,Hindmarsh,SA,69061,2623,71684,3.66
149,Sydney,NSW,44182,1677,45859,3.66
209,Deakin,VIC,61117,2316,63433,3.65
252,Dickson,QLD,63299,2389,65688,3.64
132,Mackellar,NSW,71089,2657,73746,3.6
145,Richmond,NSW,39406,1447,40853,3.54
207,Corangamite,VIC,66266,2372,68638,3.46
190,Sturt,SA,66571,2374,68945,3.44
102,Fraser,ACT,79478,2791,82269,3.39
215,Higgins,VIC,44409,1522,45931,3.31
106,Berowra,NSW,63595,2131,65726,3.24
108,Bradfield,NSW,63049,2101,65150,3.22
152,Wentworth,NSW,54734,1811,56545,3.2
179,Adelaide,SA,66036,2139,68175,3.14
137,North Sydney,NSW,64815,2029,66844,3.04
248,Tangney,WA,19742,616,20358,3.03
156,Brisbane,QLD,57929,1795,59724,3.01
101,Canberra,ACT,87561,2665,90226,2.95
188,Mayo,SA,71031,2108,73139,2.88
151,Warringah,NSW,57066,1642,58708,2.8
242,Moore,WA,22579,648,23227,2.79
221,Kooyong,VIC,55651,1593,57244,2.78
182,Boothby,SA,67189,1816,69005,2.63
238,Curtin,WA,37004,895,37899,2.36
177,Ryan,QLD,64191,1542,65733,2.35
243,O'Connor,WA,0,0,0,0
