2010 Federal Election House of Representatives seats decided on preferences [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-09-07T11:29:32 Cycle:15b97fb7-5572-4499-a32e-cf37bbf253f2 Created:2010-09-07T11:19:27 Environment:PROD Site:FDC Server:DB01 Version:6.0.9.8314]
DivisionID,DivisionNm,StateAb,PartyAb,PartyNm
192,Bass,TAS,ALP,Australian Labor Party
158,Dawson,QLD,LNQ,Liberal National Party of Queensland
160,Fairfax,QLD,LNQ,Liberal National Party of Queensland
307,Solomon,NT,CLP,CLP - The Territory Party
233,Wannon,VIC,LP,Liberal
