2010 Federal Election Senate Nominations By State [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-09-04T18:10:01 Cycle:d77914b8-b374-428a-b372-e18cf6b41063 Created:2010-09-04T17:51:45 Environment:PROD Site:CDC Server:DB01 Version:6.0.9.8314]
StateAb,StateNm,Seats,Candidates,Groups,UngroupedCandidates
NSW,New South Wales,6,84,32,5
VIC,Victoria,6,60,21,2
QLD,Queensland,6,60,23,6
WA,Western Australia,6,55,22,1
SA,South Australia,6,42,18,1
TAS,Tasmania,6,24,10,1
ACT,Australian Capital Territory,2,9,4,1
NT,Northern Territory,2,15,6,3
