2010 Federal Election House of Representatives Two Candidate Preferred By Candidate By Polling Place [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-08-25T06:44:06 Cycle:3cc2cbf8-c873-4707-900e-3ed984b180a0 Created:2010-08-25T06:32:21 Environment:PROD Site:CDC Server:DB01 Version:6.0.9.8314]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,101,Canberra,8777,Kambah South,20863,JONES,Giulia,1,N,N,LP,Liberal,688,2.36
ACT,101,Canberra,8777,Kambah South,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,1289,-2.36
ACT,101,Canberra,8778,Kambah West,20863,JONES,Giulia,1,N,N,LP,Liberal,1090,2.76
ACT,101,Canberra,8778,Kambah West,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,1725,-2.76
ACT,101,Canberra,8779,Lyons,20863,JONES,Giulia,1,N,N,LP,Liberal,48,-17.52
ACT,101,Canberra,8779,Lyons,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,298,17.52
ACT,101,Canberra,8780,Mawson,20863,JONES,Giulia,1,N,N,LP,Liberal,1101,4.05
ACT,101,Canberra,8780,Mawson,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,1448,-4.05
ACT,101,Canberra,8781,Monash,20863,JONES,Giulia,1,N,N,LP,Liberal,1245,3.16
ACT,101,Canberra,8781,Monash,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,1672,-3.16
ACT,101,Canberra,8782,Narrabundah,20863,JONES,Giulia,1,N,N,LP,Liberal,720,3.82
ACT,101,Canberra,8782,Narrabundah,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,1354,-3.82
ACT,101,Canberra,32706,Norfolk Island PPVC,20863,JONES,Giulia,1,N,N,LP,Liberal,0,-62.82
ACT,101,Canberra,32706,Norfolk Island PPVC,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,0,-37.18
ACT,101,Canberra,8783,Oaks Estate,20863,JONES,Giulia,1,N,N,LP,Liberal,38,-3.27
ACT,101,Canberra,8783,Oaks Estate,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,98,3.27
ACT,101,Canberra,8784,Pearce,20863,JONES,Giulia,1,N,N,LP,Liberal,1200,3.81
ACT,101,Canberra,8784,Pearce,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,1870,-3.81
ACT,101,Canberra,58809,Prison Mobile Team 1,20863,JONES,Giulia,1,N,N,LP,Liberal,4,-4.44
ACT,101,Canberra,58809,Prison Mobile Team 1,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,6,4.44
ACT,101,Canberra,8785,Red Hill,20863,JONES,Giulia,1,N,N,LP,Liberal,958,1.97
ACT,101,Canberra,8785,Red Hill,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,1258,-1.97
ACT,101,Canberra,8786,Richardson,20863,JONES,Giulia,1,N,N,LP,Liberal,723,4.55
ACT,101,Canberra,8786,Richardson,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,1033,-4.55
ACT,101,Canberra,32712,Special Hospital Team 1,20863,JONES,Giulia,1,N,N,LP,Liberal,62,-2.32
ACT,101,Canberra,32712,Special Hospital Team 1,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,65,2.32
ACT,101,Canberra,58810,Special Hospital Team 2,20863,JONES,Giulia,1,N,N,LP,Liberal,88,10.81
ACT,101,Canberra,58810,Special Hospital Team 2,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,54,-10.81
ACT,101,Canberra,58811,Special Hospital Team 3,20863,JONES,Giulia,1,N,N,LP,Liberal,53,1.57
ACT,101,Canberra,58811,Special Hospital Team 3,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,48,-1.57
ACT,101,Canberra,46425,Stirling,20863,JONES,Giulia,1,N,N,LP,Liberal,396,9.9
ACT,101,Canberra,46425,Stirling,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,548,-9.9
ACT,101,Canberra,8788,Tharwa,20863,JONES,Giulia,1,N,N,LP,Liberal,66,1.34
ACT,101,Canberra,8788,Tharwa,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,60,-1.34
ACT,101,Canberra,11878,Theodore,20863,JONES,Giulia,1,N,N,LP,Liberal,720,0.97
ACT,101,Canberra,11878,Theodore,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,1044,-0.97
ACT,101,Canberra,32704,Tuggeranong PPVC,20863,JONES,Giulia,1,N,N,LP,Liberal,3201,-19.61
ACT,101,Canberra,32704,Tuggeranong PPVC,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,4216,19.61
ACT,101,Canberra,8790,Wanniassa,20863,JONES,Giulia,1,N,N,LP,Liberal,973,5.24
ACT,101,Canberra,8790,Wanniassa,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,1565,-5.24
ACT,101,Canberra,8791,Wanniassa Hills,20863,JONES,Giulia,1,N,N,LP,Liberal,923,0.11
ACT,101,Canberra,8791,Wanniassa Hills,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,1556,-0.11
ACT,101,Canberra,8792,Waramanga,20863,JONES,Giulia,1,N,N,LP,Liberal,1014,1.77
ACT,101,Canberra,8792,Waramanga,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,1748,-1.77
ACT,101,Canberra,8793,Weston,20863,JONES,Giulia,1,N,N,LP,Liberal,536,1.66
ACT,101,Canberra,8793,Weston,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,918,-1.66
ACT,101,Canberra,32705,Woden PPVC,20863,JONES,Giulia,1,N,N,LP,Liberal,2773,-20.01
ACT,101,Canberra,32705,Woden PPVC,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,3711,20.01
ACT,101,Canberra,8840,Yarralumla,20863,JONES,Giulia,1,N,N,LP,Liberal,755,3.17
ACT,101,Canberra,8840,Yarralumla,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,1046,-3.17
ACT,102,Fraser,8801,Ainslie North,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,532,0.99
ACT,102,Fraser,8801,Ainslie North,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,1729,-0.99
ACT,102,Fraser,8804,Ainslie South,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,192,-2.07
ACT,102,Fraser,8804,Ainslie South,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,635,2.07
ACT,102,Fraser,38197,Amaroo,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,1344,-4.3
ACT,102,Fraser,38197,Amaroo,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,1688,4.3
ACT,102,Fraser,8803,Aranda,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,749,1.27
ACT,102,Fraser,8803,Aranda,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,2037,-1.27
ACT,102,Fraser,8805,Belconnen,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,867,1.57
ACT,102,Fraser,8805,Belconnen,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,1632,-1.57
ACT,102,Fraser,32464,Belconnen PPVC,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,3068,7.76
ACT,102,Fraser,32464,Belconnen PPVC,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,4257,-7.76
ACT,102,Fraser,8802,Braddon,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,517,-0.24
ACT,102,Fraser,8802,Braddon,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,1364,0.24
ACT,102,Fraser,12073,Bruce,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,349,0
ACT,102,Fraser,12073,Bruce,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,546,0
ACT,102,Fraser,8806,Campbell,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,1077,6.34
ACT,102,Fraser,8806,Campbell,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,1031,-6.34
ACT,102,Fraser,8807,Charnwood,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,1272,0.7
ACT,102,Fraser,8807,Charnwood,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,2222,-0.7
ACT,102,Fraser,8808,City,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,434,0.44
ACT,102,Fraser,8808,City,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,1042,-0.44
ACT,102,Fraser,32465,City FRASER PPVC,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,1397,-1.76
ACT,102,Fraser,32465,City FRASER PPVC,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,2920,1.76
ACT,102,Fraser,8809,Dickson,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,477,-0.64
ACT,102,Fraser,8809,Dickson,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,1093,0.64
ACT,102,Fraser,30093,Divisional Office (PREPOLL),20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,793,-1.97
ACT,102,Fraser,30093,Divisional Office (PREPOLL),21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,1675,1.97
ACT,102,Fraser,8810,Downer,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,389,4.19
ACT,102,Fraser,8810,Downer,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,853,-4.19
ACT,102,Fraser,8812,Evatt,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,1180,0.14
ACT,102,Fraser,8812,Evatt,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,2117,-0.14
ACT,102,Fraser,8813,Evatt South,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,528,-1.68
ACT,102,Fraser,8813,Evatt South,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,1052,1.68
ACT,102,Fraser,8814,Florey,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,734,2.38
ACT,102,Fraser,8814,Florey,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,1286,-2.38
ACT,102,Fraser,34238,Fraser Central,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,1198,1.72
ACT,102,Fraser,34238,Fraser Central,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,1885,-1.72
ACT,102,Fraser,8816,Giralang,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,686,5.12
ACT,102,Fraser,8816,Giralang,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,1208,-5.12
ACT,102,Fraser,34240,Gungahlin,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,1214,-6.43
ACT,102,Fraser,34240,Gungahlin,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,1493,6.43
ACT,102,Fraser,38504,Gungahlin PPVC,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,1708,13.45
ACT,102,Fraser,38504,Gungahlin PPVC,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,1883,-13.45
ACT,102,Fraser,8819,Hall,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,128,-5.38
ACT,102,Fraser,8819,Hall,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,137,5.38
ACT,102,Fraser,47681,Harrison,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,961,-2.37
ACT,102,Fraser,47681,Harrison,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,1069,2.37
ACT,102,Fraser,8821,Holt,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,1238,11.63
ACT,102,Fraser,8821,Holt,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,1428,-11.63
ACT,102,Fraser,8822,Jervis Bay,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,26,-1.04
ACT,102,Fraser,8822,Jervis Bay,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,30,1.04
ACT,102,Fraser,8823,Kaleen,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,977,0.67
ACT,102,Fraser,8823,Kaleen,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,1736,-0.67
ACT,102,Fraser,8824,Kaleen South,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,647,4.8
ACT,102,Fraser,8824,Kaleen South,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,1081,-4.8
ACT,102,Fraser,8825,Latham,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,803,0.68
ACT,102,Fraser,8825,Latham,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,1487,-0.68
ACT,102,Fraser,8826,Lyneham,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,699,-1.95
ACT,102,Fraser,8826,Lyneham,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,2314,1.95
ACT,102,Fraser,8827,Macgregor,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,694,-1.34
ACT,102,Fraser,8827,Macgregor,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,1403,1.34
ACT,102,Fraser,8828,Macquarie,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,551,0.2
ACT,102,Fraser,8828,Macquarie,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,1319,-0.2
ACT,102,Fraser,8830,Melba,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,678,3.1
ACT,102,Fraser,8830,Melba,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,1279,-3.1
ACT,102,Fraser,32463,Ngunnawal,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,800,-2.13
ACT,102,Fraser,32463,Ngunnawal,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,1386,2.13
ACT,102,Fraser,34239,Ngunnawal South,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,362,-1.19
ACT,102,Fraser,34239,Ngunnawal South,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,627,1.19
ACT,102,Fraser,32081,Nicholls,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,1476,-0.3
ACT,102,Fraser,32081,Nicholls,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,1642,0.3
ACT,102,Fraser,38198,O'Connor,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,272,6.25
ACT,102,Fraser,38198,O'Connor,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,630,-6.25
ACT,102,Fraser,8832,Page,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,738,1.18
ACT,102,Fraser,8832,Page,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,1356,-1.18
ACT,102,Fraser,31626,Palmerston,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,881,-4.55
ACT,102,Fraser,31626,Palmerston,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,1590,4.55
ACT,102,Fraser,8833,Reid,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,269,2.44
ACT,102,Fraser,8833,Reid,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,442,-2.44
ACT,102,Fraser,8834,Scullin,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,513,-2.66
ACT,102,Fraser,8834,Scullin,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,1150,2.66
ACT,102,Fraser,32467,Special Hospital Team 1,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,74,-2.34
ACT,102,Fraser,32467,Special Hospital Team 1,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,90,2.34
ACT,102,Fraser,32468,Special Hospital Team 2,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,53,4.12
ACT,102,Fraser,32468,Special Hospital Team 2,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,48,-4.12
ACT,102,Fraser,8836,Turner,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,503,0.61
ACT,102,Fraser,8836,Turner,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,1645,-0.61
ACT,102,Fraser,8837,Watson,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,798,-1.14
ACT,102,Fraser,8837,Watson,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,2183,1.14
