2010 Federal Election House of Representatives Nominations By State [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-09-04T07:46:59 Cycle:6af94f49-61ee-4797-b224-91e5cd1161bc Created:2010-09-04T07:33:33 Environment:PROD Site:CDC Server:DB01 Version:6.0.9.8314]
StateAb,StateNm,Divisions,Nominations
NSW,New South Wales,48,299
VIC,Victoria,37,194
QLD,Queensland,30,158
WA,Western Australia,15,92
SA,South Australia,11,68
TAS,Tasmania,5,20
ACT,Australian Capital Territory,2,7
NT,Northern Territory,2,11
